mm,formula,compound,pollutant_category,AVG_savanna,AVG_boreal_forest,AVG_tropical_forest,AVG_temperate_forest,AVG_peat,AVG_chaparral,AVG_open_cooking,AVG_cookstove,AVG_dung_burning,AVG_charcoal_making,AVG_charcoal_burning,AVG_pasture_maintenance,AVG_crop_residue,AVG_garbage_burning,N_savanna,N_boreal_forest,N_tropical_forest,N_temperate_forest,N_peat,N_chaparral,N_open_cooking,N_cookstove,N_dung_burning,N_charcoal_making,N_charcoal_burning,N_pasture_maintenance,N_crop_residue,N_garbage_burning,STD_savanna,STD_boreal_forest,STD_tropical_forest,STD_temperate_forest,STD_peat,STD_chaparral,STD_open_cooking,STD_cookstove,STD_dung_burning,STD_charcoal_making,STD_charcoal_burning,STD_pasture_maintenance,STD_crop_residue,STD_garbage_burning,id,S07,S07T,S18B,S22,MOZT1,geos_chem_species
75.0,C2H5NO2,Nitroethane or ethane nitrite,NMOC_g,,,,0.0066,0.0013,0.0003,,,0.0024,,,,0.0008,,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,,,0.0078,,,,,,,,,,,75.03146_C2H5NO2,RNO3,RNO3,R1NO3,R1NO3,ALKNIT,
76.0,C2H4O3,Glycolic acid,NMOC_g,,,,0.0668,,0.0046,,,,,,,,,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0372,,,,,,,,,,,"InChI=1S/C2H4O3/c3-1-2(4)5/h3H,1H2,(H,4,5)",PACD,PACD,RCOOH,OACID,NROG,
76.0,CS2,Carbon disulfide,NMOC_g,0.002,0.0263,,0.0005,,,,,,,,,0.0036,,1.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,,,,0.0001,,,,,,,,,0.0072,,InChI=1S/CS2/c2-1-3,ALK3,ALK3,NROG,NROG,NROG,
76.0,C2H5Cl,Ethylchloride,NMOC_g,0.001,0.0006,,0.0006,0.0014,0.001,,0.001,0.0058,,,,0.001,,1.0,2.0,0.0,4.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,6.0,0.0,,0.0002,,0.0003,,,,0.0008,0.0047,,,,0.0009,,"InChI=1S/C2H5Cl/c1-2-3/h2H2,1H3",ALK2,ALK2,OTH1,ALK4,NROG,
77.0,CH3NOS,N-sulfinyl methanamine,NMOC_g,,,,0.0001,0.0002,0.0,,,0.0003,,,,0.0001,,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,"InChI=1S/CH3NOS/c2-1-4-3/h1H,2H2",ALK5,ALK5,OTH4,ALK5,BIGENE,
77.0,CH3NO3,Methyl nitrate,NMOC_g,0.0023,0.0018,0.0083,0.0018,,0.002,,0.0058,0.0392,,,,0.0224,0.0598,2.0,2.0,2.0,6.0,0.0,1.0,0.0,5.0,6.0,0.0,0.0,0.0,5.0,1.0,0.0025,0.0006,0.0113,0.0009,,,,0.0034,0.0651,,,,0.0448,,InChI=1S/CH3NO3/c1-5-2(3)4/h1H3,RNO3,RNO3,R1NO3,R1NO3,ALKNIT,
78.0,C6H6,Benzene,NMOC_g,0.4343,0.7513,0.385,0.5089,1.3238,0.4378,1.5789,0.4606,0.9674,,,0.363,0.2419,1.5812,5.0,4.0,4.0,14.0,5.0,3.0,1.0,7.0,7.0,0.0,0.0,2.0,15.0,3.0,0.4819,0.3839,0.2284,0.1733,1.0453,0.2125,,0.3228,0.4259,,,0.0255,0.1789,1.0325,InChI=1S/C6H6/c1-2-4-6-5-3-1/h1-6H,BENZ,BENZ,BENZ,BENZ,BENZENE,RCHO
78.0,C6H6,"1,5-hexadiyne",NMOC_g,,0.0007,,0.001,,,,,,,,,,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,"InChI=1S/C6H6/c1-3-5-6-4-2/h1-2H,5-6H2",OLE2,OLE2,ACYLS,ALK5,BIGENE,
78.0,C6H6,Divinylacetylene,NMOC_g,,0.0107,,0.0082,0.0032,0.0068,,,,,,,0.0023,,0.0,1.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,0.0057,,,,,,,,,,,"InChI=1S/C6H6/c1-3-5-6-4-2/h3-4H,1-2H2",OLE1,OLE1,OLE2,OLE2,BIGENE,
79.0,C5H5N,Pyridine,NMOC_g,,0.0196,,0.0299,0.1204,,,,,,,,0.0195,,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,InChI=1S/C5H5N/c1-2-4-6-5-3-1/h1-5H,ARO1,ARO1,AMINS,AMINS,BENZENE,
80.0,C5H4O,"2,4-cyclopentadiene-1-one",NMOC_g,0.2044,0.0972,,0.1464,0.0619,0.0731,0.0975,0.1107,,,,,0.218,0.086,1.0,2.0,0.0,3.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,,0.1218,,0.148,,,,0.0798,,,,,,,InChI=1S/C5H4O/c6-5-3-1-2-4-5/h1-4H,IPRD,IPRD,LVKS,LVKS,MEK,
80.0,C6H8,"1,4-cyclohexadiene",NMOC_g,,,,0.0018,,,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,"InChI=1S/C6H8/c1-2-4-6-5-3-1/h1-2,5-6H,3-4H2",OLE2,OLE2,OLEC,OLE2,BIGENE,
80.0,C6H8,"1,3-cyclohexadiene",NMOC_g,,0.0999,,0.0411,0.0224,,,,,,,,0.0174,,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,0.0567,,,,,,,,,,,,,"InChI=1S/C6H8/c1-2-4-6-5-3-1/h1-4H,5-6H2",OLE2,OLE2,OLEC,OLE2,BIGENE,
80.0,C6H8,2-hexene-4-yne,NMOC_g,,,,,,,,,,,,,0.0008,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,"InChI=1S/C6H8/c1-3-5-6-4-2/h3,5H,1-2H3/b5-3+",OLE1,OLE1,OLE2,OLE2,BIGENE,
80.0,C6H8,1-hexen-3-yne,NMOC_g,,0.0037,,0.0073,,,,,,,,,0.0021,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,"InChI=1S/C6H8/c1-3-5-6-4-2/h3H,1,4H2,2H3",OLE1,OLE1,OLE2,OLE2,BIGENE,
80.0,C6H8,"1,3-cyclopentadiene, 1-methyl-",NMOC_g,,0.0838,,0.0545,0.0467,,,,,,,,0.0351,,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,"InChI=1S/C6H8/c1-6-4-2-3-5-6/h2-4H,5H2,1H3",OLE2,OLE2,OLEC,OLE2,BIGENE,
80.0,C6H8,"1,3-cyclopentadiene, 5-methyl-",NMOC_g,,0.0742,,0.0468,0.0394,,,,,,,,0.0295,,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,"InChI=1S/C6H8/c1-6-4-2-3-5-6/h2-6H,1H3",OLE2,OLE2,OLEC,OLE2,BIGENE,
80.0,C4H4N2,Pyrazine,NMOC_g,,,,,,,,,,,,,0.003,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,InChI=1S/C4H4N2/c1-2-6-4-3-5-1/h1-4H,ARO2,ARO2,ARO1,ARO1,XYLENES,
81.0,C5H7N,"Butanenitrile, 2-methylene-",NMOC_g,,,,,,,,,,,,,0.0014,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,"InChI=1S/C5H7N/c1-3-5(2)4-6/h2-3H2,1H3",ALK5,ALK5,OTH4,ALK5,BIGENE,
81.0,C5H7N,"3-butenenitrile, 3-methyl-",NMOC_g,,,,,,,,,,,,,0.0015,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,"InChI=1S/C5H7N/c1-5(2)3-4-6/h1,3H2,2H3",ALK5,ALK5,OTH4,ALK5,BIGENE,
81.0,C5H7N,"1h-pyrrole, 3-methyl-",NMOC_g,,,,0.0055,,,,,,,,,0.0041,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,"InChI=1S/C5H7N/c1-5-2-3-6-4-5/h2-4,6H,1H3",ARO2,ARO2,FURNS,FURNS,XYLENES,
81.0,C5H7N,"1h-pyrrole, 2-methyl-",NMOC_g,,0.0067,,0.0158,0.016,,,,,,,,0.0073,,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,"InChI=1S/C5H7N/c1-5-3-2-4-6-5/h2-4,6H,1H3",ARO2,ARO2,FURNS,FURNS,XYLENES,
81.0,C5H7N,1-methylpyrrole,NMOC_g,,0.0147,,0.0087,0.0278,0.0084,,,,,,,0.0061,,0.0,1.0,0.0,5.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,0.0064,,,,,,,,,,,"InChI=1S/C5H7N/c1-6-4-2-3-5-6/h2-5H,1H3",ARO2,ARO2,FURNS,FURNS,XYLENES,
82.0,C6H10,Cyclohexene,NMOC_g,,0.0242,,0.0166,0.0465,0.0116,,,,,,,0.0036,,0.0,2.0,0.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,0.0057,,,,,,,,,,,"InChI=1S/C6H10/c1-2-4-6-5-3-1/h1-2H,3-6H2",OLE2,OLE2,OLEC,OLE2,BIGENE,
82.0,C6H10,"Trans-1,3-hexadiene",NMOC_g,,0.0123,,0.0074,0.0223,0.0037,,,,,,,0.0033,,0.0,2.0,0.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,0.0032,,,,,,,,,,,"InChI=1S/C6H10/c1-3-5-6-4-2/h3,5-6H,1,4H2,2H3/b6-5+",OLE2,OLE2,OLED,OLE2,BIGENE,
82.0,C6H10,"Cis-1,3-hexadiene",NMOC_g,,,,0.0027,,0.0019,,,,,,,,,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0015,,,,,,,,,,,"InChI=1S/C6H10/c1-3-5-6-4-2/h3,5-6H,1,4H2,2H3/b6-5-",OLE2,OLE2,OLED,OLE2,BIGENE,
82.0,C6H10,"1,4-hexadiene, (e)-",NMOC_g,,0.005,,0.0091,0.0053,,,,,,,,0.0009,,0.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,"InChI=1S/C6H10/c1-3-5-6-4-2/h3-4,6H,1,5H2,2H3/b6-4+",OLE2,OLE2,OLE2,OLE2,BIGENE,
82.0,C6H10,"1,4-hexadiene, (z)-",NMOC_g,,0.004,,0.0045,,,,,,,,,,,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,"InChI=1S/C6H10/c1-3-5-6-4-2/h3-4,6H,1,5H2,2H3/b6-4-",OLE2,OLE2,OLED,OLE2,BIGENE,
82.0,C6H10,"1,5-hexadiene",NMOC_g,,0.0095,,0.0161,0.0106,,,,,,,,0.0017,,0.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,"InChI=1S/C6H10/c1-3-5-6-4-2/h3-4H,1-2,5-6H2",OLE2,OLE2,OLE1,OLE1,BIGENE,
82.0,C6H10,3-hexyne,NMOC_g,,,,,0.0061,,,,,,,,,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,"InChI=1S/C6H10/c1-3-5-6-4-2/h3-4H2,1-2H3",OLE2,OLE2,ACYLS,ALK5,BIGENE,
82.0,C6H10,"2,4-hexadiene, (e,e)-",NMOC_g,,0.0038,,0.0081,0.0108,,,,,,,,0.0018,,0.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,"InChI=1S/C6H10/c1-3-5-6-4-2/h3-6H,1-2H3/b5-3+,6-4+",OLE2,OLE2,OLED,OLE2,BIGENE,
82.0,C6H10,"2,4-hexadiene, (e,z)-",NMOC_g,,0.0061,,0.0125,0.0152,,,,,,,,0.0024,,0.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,"InChI=1S/C6H10/c1-3-5-6-4-2/h3-6H,1-2H3/b5-3-,6-4+",OLE2,OLE2,OLED,OLE2,BIGENE,
82.0,C6H10,"4-methyl-1,3-pentadiene",NMOC_g,,0.0115,,0.023,0.0285,,,,,,,,0.0037,,0.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,"InChI=1S/C6H10/c1-4-5-6(2)3/h4-5H,1H2,2-3H3",OLE2,OLE2,OLED,OLE2,BIGENE,
82.0,C6H10,"1,3-pentadiene, 2-methyl-, (e)-",NMOC_g,,0.0109,,0.0117,0.0254,,,,,,,,0.0047,,0.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,"InChI=1S/C6H10/c1-4-5-6(2)3/h4-5H,2H2,1,3H3/b5-4+",OLE2,OLE2,OLED,OLE2,BIGENE,
82.0,C6H10,"1,3-pentadiene, 2-methyl-, (z)-",NMOC_g,,0.029,,0.0631,,,,,,,,,0.0091,,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,"InChI=1S/C6H10/c1-4-5-6(2)3/h4-5H,2H2,1,3H3/b5-4-",OLE2,OLE2,OLED,OLE2,BIGENE,
82.0,C6H10,"1,4-pentadiene, 2-methyl-",NMOC_g,,0.005,,0.0091,0.0048,,,,,,,,0.0015,,0.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,"InChI=1S/C6H10/c1-4-5-6(2)3/h4H,1-2,5H2,3H3",OLE2,OLE2,OLE3,OLE3,BIGENE,
82.0,C6H10,"1,3-pentadiene, 3-methyl-, (z)-",NMOC_g,,0.0081,,0.0222,0.0105,,,,,,,,0.0036,,0.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,"InChI=1S/C6H10/c1-4-6(3)5-2/h4-5H,1H2,2-3H3/b6-5-",OLE2,OLE2,OLED,OLE2,BIGENE,
82.0,C6H10,"1,4-pentadiene, 3-methyl-",NMOC_g,,0.0019,,0.003,,,,,,,,,0.0005,,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,"InChI=1S/C6H10/c1-4-6(3)5-2/h4-6H,1-2H2,3H3",OLE2,OLE2,OLED,OLE2,BIGENE,
82.0,C6H10,"1,3-butadiene, 2,3-dimethyl-",NMOC_g,,0.0064,,0.0058,0.0038,,,,,,,,0.0024,,0.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,"InChI=1S/C6H10/c1-5(2)6(3)4/h1,3H2,2,4H3",OLE2,OLE2,BUT13,BUT13,BIGENE,
82.0,C6H10,"Cyclopentene, 3-methyl-",NMOC_g,,0.0073,,0.0046,0.0228,,,,,,,,0.003,,0.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,"InChI=1S/C6H10/c1-6-4-2-3-5-6/h2,4,6H,3,5H2,1H3",OLE2,OLE2,OLEC,OLE2,BIGENE,
82.0,C6H10,1-methylcyclopentene,NMOC_g,,0.0218,,0.0199,0.0556,0.0117,,,,,,,0.0084,,0.0,2.0,0.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,0.0041,,,,,,,,,,,"InChI=1S/C6H10/c1-6-4-2-3-5-6/h4H,2-3,5H2,1H3",OLE2,OLE2,OLEC,OLE2,BIGENE,
82.0,C5H6O,Pent-2-ynal,NMOC_g,,0.0018,,0.002,,,,,,,,,,,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,"InChI=1S/C5H6O/c1-2-3-4-5-6/h5H,2H2,1H3",OLE2,OLE2,ACYLS,ALK5,BIGENE,
82.0,C5H6O,"1,4-pentadien-3-one",NMOC_g,,,,0.0009,,,,,,,,,0.001,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,"InChI=1S/C5H6O/c1-3-5(6)4-2/h3-4H,1-2H2",IPRD,IPRD,LVKS,LVKS,MEK,
82.0,C5H6O,3-methylfuran,NMOC_g,0.012,0.0184,0.59,0.0277,0.0351,0.0098,,,,,,0.707,0.027,0.0221,1.0,1.0,1.0,10.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,,,,0.0209,,,,,,,,,0.009,,"InChI=1S/C5H6O/c1-5-2-3-6-4-5/h2-4H,1H3",ARO2,ARO2,FURNS,FURNS,XYLENES,
82.0,C5H6O,2-methylfuran,NMOC_g,0.2296,0.2696,0.08,0.1913,0.3437,0.117,0.1354,0.1004,0.4578,,,0.101,0.181,0.1489,2.0,3.0,1.0,12.0,4.0,3.0,1.0,4.0,3.0,0.0,0.0,1.0,5.0,1.0,0.2668,0.0744,,0.1443,0.1944,0.0277,,0.0661,0.2623,,,,0.1019,,"InChI=1S/C5H6O/c1-5-3-2-4-6-5/h2-4H,1H3",ARO2,ARO2,FURNS,FURNS,XYLENES,
82.0,C5H6O,Cyclopentenone,NMOC_g,,0.027,,0.1788,0.041,0.0567,,,,,,,0.1278,,0.0,1.0,0.0,5.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,0.1063,,,,,,,,,,,"InChI=1S/C5H6O/c6-5-3-1-2-4-5/h1,3H,2,4H2",IPRD,IPRD,LVKS,LVKS,MEK,
82.0,C5H6O,3-cyclopenten-1-one,NMOC_g,,0.0122,,0.0097,,,,,,,,,0.0081,,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,"InChI=1S/C5H6O/c6-5-3-1-2-4-5/h1-2H,3-4H2",IPRD,IPRD,LVKS,LVKS,MEK,
82.0,C4H6N2,1-methylpyrazole,NMOC_g,,,,0.0135,,0.0051,,,,,,,,,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0122,,,,,,,,,,,"InChI=1S/C4H6N2/c1-6-4-2-3-5-6/h2-4H,1H3",ARO2,ARO2,ARO1,ARO1,XYLENES,
83.0,C5H9N,Pentanenitrile,NMOC_g,,,,,,,,,,,,,0.001,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,"InChI=1S/C5H9N/c1-2-3-4-5-6/h2-4H2,1H3",ALK5,ALK5,OTH4,ALK5,BIGENE,
83.0,C5H9N,"Butanenitrile, 2-methyl-",NMOC_g,,0.0064,,0.0064,0.0144,,,,,,,,0.0021,,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,"InChI=1S/C5H9N/c1-3-5(2)4-6/h5H,3H2,1-2H3",ALK5,ALK5,OTH4,ALK5,BIGENE,
83.0,C5H9N,"Butanenitrile, 3-methyl-",NMOC_g,,0.0086,,0.0117,0.0172,,,,,,,,0.005,,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,"InChI=1S/C5H9N/c1-5(2)3-4-6/h5H,3H2,1-2H3",ALK5,ALK5,OTH4,ALK5,BIGENE,
84.0,C4H4S,Thiophene,NMOC_g,,0.0049,,0.0119,0.021,0.0042,,,0.0323,,,,0.0136,,0.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,,,,0.0094,0.0154,,,,,,,,0.0153,,InChI=1S/C4H4S/c1-2-4-5-3-1/h1-4H,ARO1,ARO1,OLEP,OLEP,NROG,
84.0,C6H12,Cyclohexane,NMOC_g,0.017,0.054,,0.0043,0.0044,0.0024,,0.0038,0.1198,,,,0.0047,0.0457,1.0,1.0,0.0,8.0,2.0,2.0,0.0,2.0,4.0,0.0,0.0,0.0,6.0,2.0,,,,0.0034,,0.0009,,0.0042,0.2254,,,,0.0049,,InChI=1S/C6H12/c1-2-4-6-5-3-1/h1-6H2,ALK5,ALK5,ALK5,ALK5,BIGALK,
84.0,C6H12,"2-hexene, (e)-",NMOC_g,,0.0089,,0.0076,0.0414,,,,,,,,0.0024,,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,"InChI=1S/C6H12/c1-3-5-6-4-2/h3,5H,4,6H2,1-2H3/b5-3+",OLE2,OLE2,OLE2,OLE2,BIGENE,
84.0,C6H12,Cis-2-hexene,NMOC_g,,0.002,,0.0134,0.0186,0.0147,,,,,,,,,0.0,1.0,0.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0124,,,,,,,,,,,"InChI=1S/C6H12/c1-3-5-6-4-2/h3,5H,4,6H2,1-2H3/b5-3-",OLE2,OLE2,OLE2,OLE2,BIGENE,
84.0,C6H12,1-hexene,NMOC_g,0.081,0.091,,0.0474,0.2557,0.0402,,0.0217,0.0885,,,,0.0347,,1.0,2.0,0.0,8.0,2.0,2.0,0.0,2.0,3.0,0.0,0.0,0.0,5.0,0.0,,0.1075,,0.0316,,0.0384,,0.0129,0.075,,,,0.0159,,"InChI=1S/C6H12/c1-3-5-6-4-2/h3H,1,4-6H2,2H3",OLE1,OLE1,OLE1,OLE1,BIGENE,
84.0,C6H12,2-methyl-1-pentene,NMOC_g,0.0035,,0.0028,0.0871,0.0772,0.0674,,,,,,,,,1.0,0.0,1.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0285,,,,,,,,,,,"InChI=1S/C6H12/c1-4-5-6(2)3/h2,4-5H2,1,3H3",OLE2,OLE2,OLE3,OLE3,BIGENE,
84.0,C6H12,"1-pentene, 4-methyl-",NMOC_g,,0.0064,,0.0035,0.0223,,,,,,,,0.0035,,0.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,,,,0.0014,,,,,,,,,0.0024,,"InChI=1S/C6H12/c1-4-5-6(2)3/h4,6H,1,5H2,2-3H3",OLE1,OLE1,OLE1,OLE1,BIGENE,
84.0,C6H12,"2-pentene, 4-methyl-",NMOC_g,,0.0011,,0.0014,0.005,,,,,,,,0.0002,,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,"InChI=1S/C6H12/c1-4-5-6(2)3/h4-6H,1-3H3/b5-4+",OLE2,OLE2,OLE2,OLE2,BIGENE,
84.0,C6H12,"2-pentene, 2-methyl-",NMOC_g,,0.0345,,0.0191,0.0347,,,,,,,,0.0051,,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,"InChI=1S/C6H12/c1-4-5-6(2)3/h5H,4H2,1-3H3",OLE2,OLE2,OLE4,OLE4,BIGENE,
84.0,C6H12,"2-pentene, 3-methyl-, (e)-",NMOC_g,,0.0086,,0.0075,0.0116,,,,,,,,0.0025,,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,"InChI=1S/C6H12/c1-4-6(3)5-2/h4H,5H2,1-3H3/b6-4+",OLE2,OLE2,OLE4,OLE4,BIGENE,
84.0,C6H12,"2-pentene, 3-methyl-, (z)-",NMOC_g,,,,0.0141,,,,,,,,,0.0029,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,"InChI=1S/C6H12/c1-4-6(3)5-2/h4H,5H2,1-3H3/b6-4-",OLE2,OLE2,OLE4,OLE4,BIGENE,
84.0,C6H12,"1-butene, 2,3-dimethyl-",NMOC_g,,0.0199,,0.0132,0.0372,,,,,,,,0.0042,,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,"InChI=1S/C6H12/c1-5(2)6(3)4/h6H,1H2,2-4H3",OLE2,OLE2,OLE3,OLE3,BIGENE,
84.0,C6H12,Methylcyclopentane,NMOC_g,0.007,0.004,,0.0061,0.0169,0.0028,,,,,,,0.003,,1.0,1.0,0.0,8.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,,,,0.0044,,0.0025,,,,,,,0.0034,,"InChI=1S/C6H12/c1-6-4-2-3-5-6/h6H,2-5H2,1H3",ALK4,ALK4,ALK4,ALK4,BIGALK,
84.0,C4H4O2,2-(3h)furanone,NMOC_g,0.9393,0.3339,,0.4835,0.4182,0.3233,0.1272,0.1538,0.6845,,,,0.7236,0.2757,2.0,3.0,0.0,8.0,2.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,6.0,1.0,0.1424,0.2133,,0.0985,0.1456,0.3186,,0.0804,,,,,0.2471,,"InChI=1S/C4H4O2/c5-4-2-1-3-6-4/h1,3H,2H2",OLE2,OLE2,OLEP,OLEP,BIGENE,
84.0,C5H8O,4-pentenal,NMOC_g,,0.0016,,0.0039,,,,,,,,,0.001,,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,"InChI=1S/C5H8O/c1-2-3-4-5-6/h2,5H,1,3-4H2",IPRD,IPRD,OLEA2,OLEA2,MEK,
84.0,C5H8O,"2-pentenal, (e)-",NMOC_g,,,,0.0034,,,,,,,,,0.0011,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,"InChI=1S/C5H8O/c1-2-3-4-5-6/h3-5H,2H2,1H3/b4-3+",IPRD,IPRD,OLEA2,OLEA2,MEK,
