mm,formula,compound,pollutant_category,AVG_savanna,AVG_boreal_forest,AVG_tropical_forest,AVG_temperate_forest,AVG_peat,AVG_chaparral,AVG_open_cooking,AVG_cookstove,AVG_dung_burning,AVG_charcoal_making,AVG_charcoal_burning,AVG_pasture_maintenance,AVG_crop_residue,AVG_garbage_burning,N_savanna,N_boreal_forest,N_tropical_forest,N_temperate_forest,N_peat,N_chaparral,N_open_cooking,N_cookstove,N_dung_burning,N_charcoal_making,N_charcoal_burning,N_pasture_maintenance,N_crop_residue,N_garbage_burning,STD_savanna,STD_boreal_forest,STD_tropical_forest,STD_temperate_forest,STD_peat,STD_chaparral,STD_open_cooking,STD_cookstove,STD_dung_burning,STD_charcoal_making,STD_charcoal_burning,STD_pasture_maintenance,STD_crop_residue,STD_garbage_burning,id,S07,S07T,S18B,S22,MOZT1,geos_chem_species
50.0,C4H2,"1,3-butadiyne",NMOC_g,0.0034,0.0076,,0.0032,0.0015,0.0053,0.01,0.0031,0.0038,,,,0.0013,0.0035,2.0,1.0,0.0,7.0,2.0,2.0,1.0,4.0,2.0,0.0,0.0,0.0,3.0,1.0,0.0023,,,0.003,0.0017,0.0007,,0.002,0.0033,,,,0.0007,,InChI=1S/C4H2/c1-3-4-2/h1-2H,OLE2,OLE2,ACYLS,ALK5,C2H2,
51.0,C3HN,Propiolonitrile (=propyne nitrile),NMOC_g,,,,0.0017,0.0017,0.0008,,,0.0026,,,,0.0003,,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,InChI=1S/C3HN/c1-2-3-4/h1H,OLE1,OLE1,ACYLS,ALK5,BIGENE,
52.0,C4H4,1-buten-3-yne,NMOC_g,0.0564,0.0536,,0.0264,0.031,0.0221,0.0489,0.0222,0.0425,,,,0.0286,0.0331,2.0,2.0,0.0,10.0,2.0,4.0,1.0,4.0,3.0,0.0,0.0,0.0,5.0,1.0,0.0079,0.0503,,0.0229,0.0035,0.017,,0.0112,0.0222,,,,0.0187,,"InChI=1S/C4H4/c1-3-4-2/h1,4H,2H2",OLE1,OLE1,OLE1,OLE1,BIGENE,
53.0,C3H3N,Acrylonitrile,NMOC_g,0.1301,0.03,0.04,0.0471,0.0417,0.0286,,,0.076,,,,0.0379,0.0118,2.0,2.0,1.0,11.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,11.0,1.0,0.072,0.0085,,0.036,0.033,0.0202,,,,,,,0.023,,"InChI=1S/C3H3N/c1-2-3-4/h2H,1H2",ALK5,ALK5,OTH4,ALK5,BIGENE,
54.0,C3H2O,2-propynal,NMOC_g,0.0688,0.0422,,0.0495,0.0647,0.018,,,0.0389,,,,0.029,,1.0,2.0,0.0,3.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,,0.0473,,0.0178,0.0439,0.0091,,,,,,,0.0122,,"InChI=1S/C3H2O/c1-2-3-4/h1,3H",OLE2,OLE2,ACYLS,ALK5,BIGENE,
54.0,C4H6,2-butyne,NMOC_g,0.005,,,0.0024,0.0011,,,0.0049,0.0075,,,,0.0024,0.0073,1.0,0.0,0.0,4.0,1.0,0.0,0.0,5.0,6.0,0.0,0.0,0.0,3.0,1.0,,,,0.0012,,,,0.0056,0.0043,,,,0.0005,,InChI=1S/C4H6/c1-3-4-2/h1-2H3,OLE2,OLE2,ACYLS,ALK5,C2H2,
54.0,C4H6,1-butyne,NMOC_g,0.016,,,0.0053,0.002,0.0064,,0.0076,0.0108,,,,0.0069,0.0105,1.0,0.0,0.0,5.0,1.0,2.0,0.0,4.0,6.0,0.0,0.0,0.0,4.0,1.0,,,,0.001,,,,0.0057,0.0044,,,,0.0037,,"InChI=1S/C4H6/c1-3-4-2/h1H,4H2,2H3",OLE1,OLE1,ACYLS,ALK5,C2H2,
54.0,C4H6,"1,3-butadiene",NMOC_g,0.1719,0.1585,0.039,0.2122,0.3074,0.1134,0.1392,0.1464,0.4072,,0.2105,,0.1233,0.2966,3.0,4.0,1.0,12.0,3.0,4.0,3.0,13.0,13.0,0.0,1.0,0.0,12.0,3.0,0.1382,0.1557,,0.1166,0.0501,0.0722,0.1036,0.1112,0.1698,,,,0.056,0.127,"InChI=1S/C4H6/c1-3-4-2/h3-4H,1-2H2",OLE2,13BDE,BUT13,BUT13,BIGENE,
54.0,C4H6,"1,2-butadiene",NMOC_g,0.012,,,0.003,0.0009,0.0027,,0.003,0.005,,,,0.0063,0.0063,1.0,0.0,0.0,7.0,2.0,3.0,0.0,2.0,3.0,0.0,0.0,0.0,4.0,1.0,,,,0.0018,,0.0004,,0.0002,0.0008,,,,0.0015,,"InChI=1S/C4H6/c1-3-4-2/h4H,1H2,2H3",OLE1,OLE1,OLE1,OLE1,BIGENE,
55.0,C3H5N,Propane nitrile,NMOC_g,0.0644,0.0177,0.09,0.0189,0.0395,0.0114,,,0.0687,,,,0.0433,,2.0,2.0,1.0,9.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0221,0.0061,,0.0092,0.022,0.0078,,,,,,,0.0384,,"InChI=1S/C3H5N/c1-2-3-4/h2H2,1H3",ALK5,ALK5,OTH4,ALK5,BIGENE,
